# NUMBER_1   ALPHA_SKY_1          DELTA_SKY_1          X_IMAGE_1    Y_IMAGE_1    XWIN_IMAGE_1         YWIN_IMAGE_1         XMODEL_IMAGE_1       YMODEL_IMAGE_1       FLUX_AUTO_1   FLUX_MODEL_1   FLUXERR_AUTO_1   FLUXERR_MODEL_1   MAG_AUTO_1   MAG_MODEL_1   MAGERR_AUTO_1   MAGERR_MODEL_1   FLUX_RADIUS_1   FLAGS_1   NITER_MODEL_1   NUMBER_2   ALPHA_SKY_2          DELTA_SKY_2          X_IMAGE_2    Y_IMAGE_2   XWIN_IMAGE_2         YWIN_IMAGE_2         XMODEL_IMAGE_2       YMODEL_IMAGE_2       FLUX_AUTO_2   FLUX_MODEL_2   FLUXERR_AUTO_2   FLUXERR_MODEL_2   MAG_AUTO_2   MAG_MODEL_2   MAGERR_AUTO_2   MAGERR_MODEL_2   FLUX_RADIUS_2   FLAGS_2   NITER_MODEL_2   Separation            
  12         114.58978285962225   21.61736078812665    681.0106     998.0299     681.0072158419343    998.0370037227661    681.1696954518557    998.1787632703781    96.88455      19.571281      13.598271        69.836426         19.832262    21.568851     0.15242597      3.8751862        0.40891942      0         36              362        114.5894400746029    21.61731489617784    681.20294    997.94635   681.2505907083314    997.949145963939     681.2568754553795    997.7334811389446    82.31038      32.06129       14.675091        20.188585         20.070963    21.094648     0.19362259      0.68384033       0.38822058      0         47              1.1590657572084646    
  13         114.6453727724392    21.617337514441907   11.195947    1008.119     10.989223266605439   1008.4283923975676   11.290374249219894   1008.154418811202    88.01503      346.79987      18.733427        499.80783         19.936506    18.447702     0.23114803      1.5651428        0.8073449       0         40              356        114.6450999321969    21.61738728408278    10.915172    1008.1287   10.87549000259152    1008.2490858758474   10.938542984426022   1008.4589908123016   141.35771     337.70178      28.35975         502.72812         19.4838      18.538267     0.21787767      1.6167008        1.5770758       0         24              0.9305518585821122    
  14         114.62285281863383   21.61626411423314    282.3251     989.96875    282.3342812728115    990.0720852841042    282.3313728272915    990.1058435216546    711.7385      683.6202       47.8549          47.62645          17.667099    17.710861     0.07301898      0.07565945       2.8909185       0         37              11         114.62268831213402   21.61634313340077    280.62646    990.8517    280.64178271665503   990.7795772015224    280.6074818968773    990.7717051506042    1576.1746     1593.4697      53.539078        61.60955          16.86559     16.85374      0.036888957     0.041988857      3.3080602       2         40              0.619720589458054     
  15         114.62337070461342   21.615947773427276   276.0212     985.9658     276.0161331525398    985.9625532743669    277.3343108892441    985.5339631736279    162.87436     186.6638       14.024866        422.7057          19.268267    19.120249     0.093513824     2.459279         0.4298306       0         28              14         114.62305892651528   21.615973970775926   276.09708    986.1313    276.06209142934125   986.1072874482787    275.71293717622757   986.6840381622314    149.27782     283.55234      15.840575        199.04274         19.424612    18.728018     0.115240596     0.7623299        0.42212018      3         27              1.0477203660679306    
  16         114.58323416781889   21.616353160071732   759.71716    983.762      759.6936307310395    983.9328917880326    759.4431415200233    983.8429584652185    245.49821     217.10445      33.72401         28.873129         18.822779    18.956228     0.14918347      0.14442918       2.3023758       0         88              15         114.58302582692728   21.616388848367297   758.2859     984.90045   758.4300658930161    984.8241767714798    758.4582758545876    984.8466569036245    821.1377      831.99603      62.92195         65.43486          17.57356     17.559298     0.08321776      0.08541177       3.3646393       0         41              0.7090163672852707    
  17         114.62995989361954   21.61506816123512    196.44878    975.8017     196.50024991110314   975.8415184026718    196.48247280716896   975.8478424549103    7202.199      7183.8345      62.354523        70.959045         15.154237    15.157008     0.009402269     0.010727074      3.119058        0         37              16         114.62981301922447   21.615139591237174   194.60822    976.4494    194.5438880649359    976.4667388806523    194.54337787628174   976.4702429771423    14627.6455    14607.507      86.6634          92.34247          14.446664    14.44816      0.006434149     0.006865232      3.6844285       0         49              0.554763188110411     
  18         114.59493603889555   21.615249091739912   618.49854    971.6139     618.4434082169297    971.668224497793     618.4522521495819    971.6605048179626    14800.061     14831.4795     73.78608         87.67086          14.37224     14.369938     0.0054142806    0.0064194915     3.140088        0         30              17         114.59478148255994   21.615264761978743   616.51483    972.2658    616.4876602018118    972.334066164767     616.4946060180664    972.3317828178406    33340.945     33403.754      108.50291        129.3376          13.5521555   13.550112     0.0035342176    0.0042049354     3.7343256       2         31              0.5203427215893781    
  19         114.63967623870136   21.614750764950607   79.30923     973.51715    79.26377876630906    973.376406734365     79.27122953534126    973.3903123140335    1317.5431     1332.1366      40.39856         54.426807         16.998487    16.986526     0.033298977     0.04437046       2.8979836       0         42              19         114.63955334301302   21.614833059204038   77.25045     974.10956   77.32043076131195    974.0070943529807    77.31088784337044    974.0161381494254    3257.7031     3184.8765      75.83983         79.11848          16.077322    16.101868     0.025282247     0.026978336      3.6673152       0         55              0.506901011116772     
  20         114.59342412459485   21.615189404685154   636.7042     970.5605     636.5377561865428    970.6588626020915    636.5991647541523    970.655497610569     891.48047     672.31024      53.82247         32.954586         17.422619    17.728975     0.06556644      0.05323239       3.2870264       0         150             18         114.59329782311882   21.615219795003746   634.3746     971.4396    634.4464657566516    971.4333289556887    634.4838955998421    971.435962498188     2224.2075     2241.6138      80.400215        105.15742         16.491661    16.483198     0.039256513     0.050945867      4.051739        3         58              0.4366397974173427    
  21         114.60911621569794   21.614748064391694   447.53668    967.7537     447.6097877838706    967.838532960657     447.5961092412472    967.8521847873926    3946.5571     3934.5513      56.02776         61.91863          15.807353    15.810661     0.015417526     0.017090546      3.1250143       0         28              20         114.60895917819407   21.614791311824593   445.68872    968.4707    445.6856752043286    968.5457433082418    445.67206048965454   968.5424057245255    8065.173      8095.621       77.28367         84.190056         15.093066    15.088975     0.01040648      0.011293809      3.6777897       0         25              0.548156515027942     
