# NUMBER_1   ALPHA_SKY_1          DELTA_SKY_1           X_IMAGE_1    Y_IMAGE_1    XWIN_IMAGE_1         YWIN_IMAGE_1         XMODEL_IMAGE_1       YMODEL_IMAGE_1       FLUX_AUTO_1   FLUX_MODEL_1   FLUXERR_AUTO_1   FLUXERR_MODEL_1   MAG_AUTO_1   MAG_MODEL_1   MAGERR_AUTO_1   MAGERR_MODEL_1   FLUX_RADIUS_1   FLAGS_1   NITER_MODEL_1   NUMBER_2   ALPHA_SKY_2          DELTA_SKY_2           X_IMAGE_2    Y_IMAGE_2    XWIN_IMAGE_2         YWIN_IMAGE_2         XMODEL_IMAGE_2       YMODEL_IMAGE_2       FLUX_AUTO_2   FLUX_MODEL_2   FLUXERR_AUTO_2   FLUXERR_MODEL_2   MAG_AUTO_2   MAG_MODEL_2   MAGERR_AUTO_2   MAGERR_MODEL_2   FLUX_RADIUS_2   FLAGS_2   NITER_MODEL_2   Separation            
  15         244.3073770610966    -22.924622223447958   2.016617     1020.667     4.306992040497578    1019.2935296841429   0.306050181388855    1019.8271629810333   380.80588     1932.5294      30.000252        891.48834         17.230541    15.466986     0.08555612      0.5009788        4.3462296       24        43              25         244.30696341692467   -22.924740936022506   3.886698     1019.4084    8.106362364341825    1015.1666257541257   2.0369385480880737   1019.9412922859192   1736.8773     11438.979      69.48385         6121.6006         15.577078    13.530532     0.043445475     0.58117586       8.637139        26        75              1.436546882835401     
  16         244.2401412615536    -22.92937366067725    802.47064    946.61597    802.4335569371418    946.4828348556651    802.4412984251976    946.4646610021591    2373.3293     2339.8286      61.759747        71.157104         15.243906    15.25934      0.028260335     0.033026613      4.234274        0         39              504        244.24014935444856   -22.929394759127973   799.2122     946.5172     799.1906265044979    946.5157867964747    799.1740851998329    946.5128760933876    8285.8        8233.321       91.070694        87.60247          13.880664    13.887563     0.011936419     0.011555031      5.3041644       0         33              0.08055464780065942   
  17         244.2798632273253    -22.929537493150757   328.9803     951.95917    328.9957797934805    951.9236213033428    328.5926207602024    951.4751189351082    108.88443     425.4648       16.40268         3138.7568         18.589886    17.110142     0.16359831      8.011684         0.43574935      0         21              178        244.27958439166588   -22.92955384405166    329.20532    951.9803     329.08780966408995   951.9909461206651    329.4938825368881    951.9128895178437    83.47024      104.579475     14.551327        56.740063         18.872671    18.627884     0.18932186      0.58921415       0.4393786       0         28              0.9263641201634131    
  18         244.2635980387645    -22.9296337976263     522.83       947.6721     522.1530852099594    947.183377406987     522.4899863600731    946.9445971250534    207.2092      1586.6525      27.533262        399.74957         17.891277    15.681096     0.14430404      0.27361256       3.3033335       0         48              505        244.2638499848472    -22.929810202465966   516.67       945.67694    518.080719712036     945.2428547860895    517.8414983153343    945.0939103364944    1386.9766     3952.9346      81.83145         2215.65           15.821327    14.684201     0.06407387      0.60871124       7.8692803       0         58              1.0493266883360093    
  19         244.27683466291091   -22.93100881210392    364.78064    932.35297    364.9904652911537    932.3885368998566    365.0216722730547    932.355760216713     1737.97       1563.551       68.29758         64.10182          15.582195    15.697021     0.0426769       0.04452338       4.5937953       0         63              506        244.27686235392144   -22.93103819945691    361.34055    932.2573     361.41915025263813   932.2574845043706    361.4237427711487    932.2254142314196    4583.5044     4355.1934      97.12048         96.608696         14.523506    14.578981     0.023011398     0.0240901        5.557832        0         43              0.14007678516393168   
  20         244.29753337789958   -22.93133316044034    118.004005   931.9988     118.00356995323702   931.9991162032557    117.96265707910061   931.909881837666     199.3122      50.195847      13.46083         56.788647         17.933466    19.430632     0.073344536     1.2286369        0.41170105      0         35              508        244.29727746936518   -22.931357633449792   117.97678    931.97266    117.9726317339495    931.9720141715542    117.72179362177849   931.4176376461983    181.66862     21.086914      15.14188         18.40819          18.028301    20.366468     0.0905169       0.94804263       0.41242903      0         72              0.8530268398633808    
  22         244.23361613242676   -22.931171820365527   879.87427    922.1062     879.9798341261418    922.0929050956474    879.9825789146125    922.0832093134522    3398.333      3340.268       58.496376        60.67348          14.8541355   14.872848     0.018693596     0.01972638       4.109997        0         37              507        244.23361482076325   -22.931192959601255   876.712      921.98975    876.8266948121355    922.0516519699719    876.8168851286173    922.046526748687     13745.688     13730.578      97.29176         96.875755         13.331084    13.332278     0.0076866904    0.007662246      5.384237        0         42              0.07622540476810642   
  23         244.22529998314133   -22.93081328941635    979.0694     925.1631     979.0465311515942    925.2069581249898    978.8023464381695    925.7254019975662    76.03569      43.926456      12.0546          31.024677         18.979757    19.575485     0.17217304      0.7670275        0.47724313      0         33              174        244.22502457483216   -22.930819310328495   979.1647     925.1651     978.9887285079212    925.2905094189736    980.0802757740021    925.8215169906616    96.60097      153.40077      18.58251         1919.4863         18.714046    18.211931     0.20890687      13.588994        0.6008987       0         37              0.9133772018259642    
  24         244.29147564277577   -22.931983823342023   190.07614    922.45667    191.3249861985577    922.6350085776697    190.48447892069817   922.516499042511     465.99185     1391.0824      48.122593        1221.1791         17.011354    15.823918     0.11215032      0.95335865       4.94687         0         32              510        244.2914243696226    -22.93198457024467    187.60335    922.75995    188.52522054434286   921.9483623536529    188.29597866535187   922.4517644643784    2311.6826     2875.229       120.65178        476.07352         15.26668     15.0298195    0.05668072      0.17981727       8.410462        2         29              0.17001663139752374   
  25         244.29050217409684   -22.93210730428685    201.65414    920.67816    201.69900521349544   920.2464473950976    201.88366224616766   920.0328441858292    68.83481      999.1998       14.842353        295.40714         19.08778     16.18317      0.23416634      0.32106906       1.6340178       0         37              509        244.29045989003833   -22.93216444050537    199.06076    920.25085    192.85416384951176   920.3847154449056    198.0762763619423    919.4918538331985    994.6053      3048.9712      78.29141         3345.224          16.182373    14.966117     0.085485645     1.191521         7.243436        3         28              0.24892234282884332   
