Name|Sp|Vmag|B-V|Mv|_RA.icrs|_DE.icrs
NN 3275 |dM4.5e      | 12.90| 1.70|13.00|04 22 07.4|+19 15 30
Gl 168.1|            | 15.04| 1.00|14.30|04 22 10.1|+19 28 55
Gl 168.2|m           | 15.77| 1.00|14.60|04 22 13.7|+19 29 07
NN 3276 |m           | 17.00|     |15.00|04 22 14.7|+15 30 53
GJ 2034 |DA8         | 14.36| 0.52|14.81|04 21 01.0|-48 39 31
NN 3277 |G5          |  8.04|     | 6.05|04 22 58.6|+09 24 12
NN 3278 |dM0         | 12.55| 1.49| 9.54|04 23 59.4|+16 43 04
NN 3279 |m           | 11.80|     |10.90|04 22 12.8|-57 26 39
NN 3280 |k-m         | 12.44| 1.51|10.40|04 24 49.3|+32 26 56
NN 3281 |M2          | 10.31| 1.04| 6.70|04 25 00.7|+16 59 06
NN 3282 |m           | 12.63|     |10.75|04 25 14.8|+08 02 54
NN 3283 |m           | 14.97|     |13.09|04 25 16.8|+08 04 00
NN 3284 |dM0         | 12.13| 1.40|10.70|04 25 49.1|+15 31 03
NN 3285 |DC8         | 15.50|     |15.00|04 25 53.4|+12 11 46
Wo 9155 |G4 V        |  6.88| 0.66| 4.89|04 24 11.1|-57 04 17
Wo 9155 |G6 V        |  7.30|     | 5.30|04 24 12.5|-57 04 17
NN 3286 |M3.5        | 14.10|     |13.00|04 25 01.2|-40 03 05
NN 3287 |m           | 14.45|     |12.72|04 27 41.5|+59 35 19
NN 3288 |DC9         | 17.11| 1.10|15.28|04 26 20.7|+04 32 33
NN 3289 |m           | 18.32|     |17.16|04 26 20.2|+03 36 34
NN 3290 |dM1         | 13.06| 1.49|10.05|04 27 17.1|+17 14 15
Wo 9156 |G5 V        |  7.91| 0.65| 4.98|04 25 09.2|-64 04 48
NN 3291 |k           | 13.85|     |12.02|04 27 53.5|+11 46 55
Gl 169  |K7 V        |  8.27| 1.35| 7.93|04 29 00.2|+21 55 24
NN 3292 |m           | 13.50|     |13.00|04 29 18.1|+14 13 53
NN 3293 |M2.5        | 12.00|     |10.70|04 28 35.6|-25 10 16
Gl 169.1|dM4         | 11.08| 1.65|12.38|04 31 11.8|+58 58 44
Gl 169.1|DC5         | 12.44| 0.31|13.74|04 31 11.8|+58 58 44
Gl 170  |M4.5        | 13.91| 1.73|13.82|04 30 25.1|+39 50 56
NN 3294 |k-m         | 14.57| 1.75|13.60|04 30 24.3|+17 29 44
Gl 170.1|A6 IV       |  4.78| 0.17| 3.37|04 30 33.9|+16 11 37
NN 3295 |G0          |  7.74|     | 5.75|04 33 54.4|+64 38 01
NN 3296 |m           | 14.60|     |13.60|04 33 34.7|+20 44 41
NN 3297 |g-k         | 13.13| 1.57|11.30|04 34 16.5|+34 49 28
Wo 9158 |K1          |  7.93| 0.79| 5.77|04 33 50.3|+05 23 06
NN 3298 |K3/5 V      |  8.79| 0.99| 6.85|04 33 09.0|-36 56 43
NN 3299 |K5          |  9.30|     | 7.30|04 34 52.8|+39 08 29
Gl 171  |K2 V        |  8.34| 0.90| 6.30|04 36 06.0|+55 24 47
GJ 1071 |K5 V        |  8.86| 1.11| 7.17|04 34 00.9|-43 31 29
NN 3300 |G8 V        |  7.58| 0.81| 5.75|04 34 38.7|-35 39 27
NN 3301 |K           | 11.20|     | 9.40|04 35 55.4|+16 30 39
Gl 171.1|K5 III      |  0.85| 1.54|-0.68|04 35 55.3|+16 30 32
Gl 171.1|dM2         | 13.50|     |12.00|04 35 55.3|+16 30 32
Gl 171.2|dK5 ep      |  8.42| 1.12| 7.35|04 36 48.5|+27 07 54
Gl 171.2|DC8         | 15.80| 0.65|14.73|04 36 45.6|+27 09 50
Gl 172  |K8 Ve       |  8.61| 1.40| 8.58|04 37 40.7|+52 53 37
NN 3302 |k-m         | 14.30| 1.62|12.33|04 36 39.9|+11 13 18
NN 3303 |M3.5        | 13.70|     |11.80|04 36 55.9|-29 03 28
NN 3304 |m           | 12.53| 1.65|12.53|04 38 12.5|+28 13 00
NN 3305 |M1          | 10.59| 1.45| 9.75|04 37 37.0|-02 29 32
Gl 173  |dM1         | 10.36| 1.50|10.23|04 37 41.7|-11 02 20
NN 3306 |DQ7         | 13.77| 0.33|13.88|04 37 48.8|-08 49 12
Wo 9160 |K2 IIIb     |  3.91| 1.10| 1.97|04 38 10.5|-14 18 13
Wo 9160 |            |  7.30|     | 5.40|04 38 10.5|-14 18 13
Gl 173.1|K3 V        |  9.20| 1.02| 7.67|04 39 42.5|+09 52 19
Gl 173.1|k-m         | 14.19| 1.57|12.66|04 39 43.6|+09 51 38
NN 3307 |M0          | 11.24| 1.47| 9.94|04 40 42.1|+02 13 57
Wo 9163 |dM0         | 10.97| 1.48| 9.51|04 40 29.2|-09 11 38
Gl 174  |K3 V        |  8.00| 1.10| 7.26|04 41 18.8|+20 54 07
Gl 174.1|F2 V        |  4.44| 0.34| 2.70|04 40 33.8|-41 51 50
Gl 174.1|            | 12.50|     |10.80|04 40 33.8|-41 51 50
Gl 175  |G5 V J      |  7.19| 0.68| 5.15|04 40 18.5|-58 56 39
Gl 175  |            |  7.40|     | 5.40|04 40 18.5|-58 56 39
Gl 176  |dM2.5e      |  9.98| 1.52|10.14|04 42 55.8|+18 57 31
Gl 176.1|F1 V        |  5.05| 0.38| 3.80|04 42 03.2|-37 08 42
Gl 176.2|K3          |  8.00| 0.90| 6.26|04 43 35.9|+27 41 15
NN 3308 |            | 13.40|     |11.40|04 43 26.4|+19 00 18
NN 3309 |M2.5        | 11.26| 1.53|10.70|04 44 26.4|+27 51 40
NN 3310 |k-m         | 13.45| 1.60|11.70|04 44 37.2|+29 49 13
NN 3311 |m           | 17.29|     |15.86|04 46 18.8|+48 44 52
NN 3312 |G0          |  6.52|     | 5.10|04 46 27.3|+42 20 57
Gl 176.3|K0 V        |  7.59| 0.89| 6.08|04 45 38.8|-50 04 31
NN 3313 |k           | 11.34| 1.48|10.00|04 47 11.2|+02 09 36
Gl 177  |G1 V        |  5.49| 0.63| 4.98|04 47 35.8|-16 56 05
NN 3314 |K7 V        |  9.53| 1.14| 7.59|04 48 00.7|-10 56 02
NN 3315 |k-m         | 11.79| 1.47| 9.90|04 50 15.4|+45 58 50
Gl 178  |F6 V        |  3.19| 0.45| 3.81|04 49 50.0|+06 57 38
NN 3316 |m           | 12.84| 1.54|10.80|04 50 51.0|+26 07 17
GJ 1072 |m           | 15.21| 1.95|14.48|04 50 50.8|+22 07 25
Wo 9168 |G1 IV-V     |  6.97| 0.58| 5.00|04 51 44.1|+45 50 04
NN 3317 |K2 V        |  7.45| 0.90| 6.34|04 49 52.8|-35 06 30
GJ 1073 |k           | 13.43| 1.61|12.87|04 52 35.8|+40 42 20
Gl 179  |dM4  e      | 11.98| 1.56|11.40|04 52 05.5|+06 28 31
GJ 2035 |K5 V        |  8.77| 1.01| 6.94|04 53 04.3|+22 14 06
Gl 180  |M3 :        | 10.90| 1.54|10.52|04 53 49.8|-17 46 23
NN 3318 |M0 V        | 10.12| 1.25| 8.13|04 53 55.6|-20 32 23
NN 3319 |K0 V        |  7.60| 0.77| 5.77|04 54 03.7|-35 24 16
GJ 2036 |M2 Ve       | 11.13| 1.57|11.00|04 53 29.9|-55 51 08
GJ 2036 |            | 12.15| 1.60|12.00|04 53 29.9|-55 51 08
Wo 9169 |F8          |  7.02| 0.55| 4.33|04 55 56.4|+04 40 02
Wo 9169 |k           | 14.60|     |11.90|04 55 54.3|+04 40 14
GJ 2037 |K3/4 V      |  8.13| 1.07| 6.91|04 55 41.5|-28 33 47
GJ 1074 |M1          | 10.98| 1.48| 9.67|04 58 45.5|+50 56 41
Gl 181  |dM2  e      |  9.78| 1.44| 8.59|04 58 50.4|+49 50 57
Gl 181.1|m           | 12.06| 1.48| 9.22|04 55 57.4|-61 09 46
Gl 182  |dM0.5       | 10.09| 1.39| 9.02|04 59 34.6|+01 46 55
NN 3320 |M2.5        | 11.51| 1.48|10.50|05 01 15.4|+24 52 25
Gl 183  |K3 V        |  6.22| 1.06| 6.44|05 00 49.1|-05 45 10
NN 3321 |M1          | 11.28| 1.52| 9.82|05 01 50.0|+03 45 59
NN 3322 |dM3         | 11.47| 1.52|12.23|05 01 59.2|+09 58 59
Gl 184  |dM0         |  9.93| 1.41| 9.08|05 03 24.0|+53 07 46
NN 3323 |m           | 12.10|     |13.20|05 01 57.0|-06 56 47
Gl 185  |M0 V    J   |  8.46| 1.41| 9.02|05 02 28.0|-21 15 24
Gl 185  |            | 10.50|     |11.10|05 02 28.0|-21 15 24
NN 3324 |G8 V        |  7.44| 0.80| 5.75|05 03 52.3|+24 58 21
NN 3325 |M3          | 11.69| 1.63|11.30|05 03 19.8|-17 22 25
Gl 186  |K5 V        |  9.28| 1.28| 7.78|05 03 22.0|-23 15 01
Gl 186.1|G5 V        |  7.02| 0.63| 4.92|05 02 17.2|-56 04 54
Gl 186.1|m           | 10.60| 1.36| 8.50|05 02 25.0|-56 05 48
NN 3326 |m           | 13.75|     |13.07|05 04 15.1|+11 03 23
Gl 187  |F2 V        |  5.37| 0.43| 3.33|05 02 48.6|-49 09 06
Gl 187.1|K0          | 10.04| 0.74| 8.62|05 04 05.4|-42 21 49
Gl 187.2|F0 V        |  5.00| 0.33| 3.40|05 06 40.3|+51 35 50
NN 3327 |M4  e       | 12.97|     |11.63|05 05 12.3|-12 00 18
NN 3328 |g           | 11.54| 1.51|10.40|05 06 03.8|+04 20 16
NN 3329 |DC9?        | 15.97| 0.74|14.29|05 05 53.0|-17 22 46
NN 3330 |K0 V        |  7.75| 0.80| 5.81|05 06 42.4|+14 26 45
Gl 188  |G4 V        |  5.60| 0.65| 4.45|05 07 27.5|+18 38 43
Gl 188  |G4 V        |  5.70|     | 4.55|05 07 27.5|+18 38 43
Gl 189  |F7 V        |  4.71| 0.52| 4.03|05 05 30.6|-57 28 20
NN 3331 |M2          | 10.29| 1.52| 9.89|05 06 50.0|-21 35 05
NN 3332 |M3:         | 11.66| 1.51|11.26|05 06 49.0|-21 35 05
NN 3333 |k           | 11.78| 1.66|11.32|05 07 49.1|+17 58 57
NN 3334 |G1 IV       |  6.17| 0.62| 4.19|05 07 38.6|+09 28 16
GJ 1075 |K7 V        |  9.02| 1.40| 8.56|05 05 47.3|-57 33 15
Wo 9175 |A3 III      |  2.79| 0.13| 1.27|05 07 50.6|-05 05 13
Gl 189.2|F2 V        |  5.11| 0.44| 3.42|05 08 43.8|-04 27 24
NN 3335 |M3          | 12.48| 1.50|10.89|05 09 10.2|+15 27 33
Gl 190  |M4          | 10.30| 1.50|10.09|05 08 35.3|-18 10 09
NN 3336 |M2          | 11.39| 1.53|10.70|05 10 22.1|+48 50 29
GJ 2039 |K0          |  8.55| 1.12| 7.40|05 10 51.5|+16 25 46
NN 3337 |m           | 14.20|     |12.40|05 10 57.9|+18 37 37
Wo 9177 |G8 IV/V     |  8.71| 0.77| 6.70|05 10 42.9|-44 34 20
Gl 191  |M0 V        |  8.85| 1.55|10.91|05 11 40.3|-45 01 07
Gl 192  |M3.5:       | 10.76| 1.54|10.00|05 12 42.0|+19 39 55
NN 3338 |K4          |  9.47| 1.17| 7.37|05 14 17.2|+19 52 55
NN 3339 |DA8         | 15.89| 0.42|13.90|05 14 03.2|+08 00 17
Gl 193  |G8 V        |  7.44| 0.73| 5.45|05 14 19.9|-15 49 36
NN 3340 |m           | 11.55|     | 9.51|05 15 08.3|-07 20 50
Gl 194  |G5 III      |  0.71| 0.80| 0.20|05 16 40.9|+45 59 55
Gl 194  |G0 III      |  0.96|     | 0.45|05 16 40.9|+45 59 55
Gl 195  |dM2         | 10.20| 1.50| 9.61|05 17 23.5|+45 50 23
Gl 195  |M4  :       | 13.70|     |13.10|05 17 23.5|+45 50 23
NN 3341 |m           | 12.15|     |10.56|05 15 46.9|-31 17 43
Gl 196  |F6 V        |  5.05| 0.47| 3.67|05 22 33.9|+79 13 51
Gl 197  |G2 IV-V     |  4.71| 0.63| 3.92|05 19 08.3|+40 05 56
NN 3342 |m           | 13.44| 1.62|11.40|05 20 41.2|+58 47 36
NN 3343 |m           | 14.03| 1.64|11.99|05 20 40.2|+58 47 18
Gl 198  |G0 V        |  5.96| 0.57| 4.41|05 18 50.5|-18 07 47
Gl 200  |K3 V        |  7.70| 1.04| 7.21|05 19 12.6|-03 04 27
Gl 200  |M2          | 11.70|     |11.20|05 19 12.6|-03 04 27
Gl 199  |K3/5 V      |  9.33| 1.27| 8.26|05 18 47.5|-21 23 40
Gl 199  |            | 13.50|     |12.40|05 18 47.5|-21 23 40
Gl 200.1|k           | 13.19| 1.16|11.45|05 17 53.6|-53 40 54
NN 3344 |m           | 11.70| 1.40|10.28|05 15 58.1|-72 13 44
GJ 2040 |M0 V        |  9.86| 1.42| 8.80|05 19 35.1|+03 52 25
NN 3345 |m           | 13.01|     |11.18|05 21 10.1|+55 45 52
NN 3346 |K3 V        |  8.79| 1.00| 6.75|05 19 59.6|-15 50 22
GJ 1076 |K3  p       |  9.46| 1.04| 6.77|05 23 20.5|+54 47 59
GJ 1077 |M1.5 V      | 11.91| 1.48|11.34|05 16 55.2|-78 17 30
GJ 2041 |K5 V?       |  8.82| 1.11| 7.18|05 22 46.0|+00 12 34
Gl 201  |dK5  e      |  7.95| 1.09| 6.88|05 23 38.1|+17 19 27
GJ 1078 |m           | 15.52| 1.83|13.95|05 23 48.9|+22 32 41
Gl 202  |F8 Ve       |  4.99| 0.53| 4.06|05 24 25.2|+17 22 59
GJ 1079 |K2/3 V      |  7.74| 0.94| 6.44|05 26 14.6|-32 30 15
Gl 203  |M3.5        | 12.48| 1.64|12.47|05 28 00.3|+09 38 36
GJ 1080 |M5 V        | 12.80| 1.60|11.39|05 28 13.9|+02 58 10
Gl 204  |K5 V        |  7.65| 1.10| 6.91|05 28 25.6|-03 29 59
NN 3347 |G0 V        |  6.75| 0.58| 4.70|05 28 51.8|+12 33 05
NN 3348 |m           | 13.98| 1.65|12.00|05 28 56.8|+12 31 53
GJ 2043 |dM2         | 10.63| 1.47| 8.94|05 29 26.8|+15 34 29
GJ 2043 |m           | 14.68|     |12.99|05 29 25.8|+15 34 35
NN 3349 |M3          | 12.15| 1.48| 9.81|05 29 52.3|+32 04 57
Gl 204.1|G5 Ve       |  6.99| 0.77| 5.44|05 27 39.1|-60 25 01
Wo 9181 |F8 V        |  7.17| 0.54| 4.33|05 25 18.9|-75 41 30
Gl 204.2|M3.5        | 12.02| 1.53|10.65|05 29 51.7|-03 26 31
Gl 205  |M1.5 V      |  7.96| 1.47| 9.14|05 31 27.0|-03 40 41
NN 3350 |m           | 13.00|     |11.50|05 31 04.5|-30 11 42
NN 3351 |m           | 18.40|     |16.68|05 37 58.1|+79 32 08
Gl 206  |dM4  e      | 11.52| 1.63|10.77|05 32 14.4|+09 49 16
GJ 1081 |k-m         | 12.21| 1.60|11.30|05 33 17.8|+44 48 58
Gl 207  |K7          | 12.07| 1.46|10.70|05 33 02.9|+29 23 22
NN 3352 |M3          | 11.07| 1.46| 9.34|05 34 09.0|+51 12 55
Gl 207.1|dM2.5e      | 11.53| 1.57|10.64|05 33 44.1|+01 56 39
NN 3353 |M3          | 12.32|     |10.86|05 34 15.4|+10 19 10
NN 3354 |M3.5        | 13.62|     |12.16|05 34 15.4|+10 19 04
NN 3355 |K7          | 10.08| 1.27| 8.14|05 35 01.0|+28 05 55
NN 3356 |M3.5        | 11.81| 1.59|11.34|05 34 51.7|+13 52 42
GJ 1082 |DA7         | 14.75| 0.32|13.37|05 36 20.0|+41 30 04
NN 3357 |M4          | 12.80| 1.63|12.30|05 35 55.3|-07 38 47
Gl 208  |dM0         |  8.80| 1.40| 8.48|05 36 31.0|+11 19 40
Gl 209  |G4 IV-V     |  7.67| 0.66| 6.40|05 37 02.6|+20 43 49
NN 3358 |K2 V        |  7.73| 0.83| 5.72|05 38 12.1|+51 26 43
NN 3359 |G5          |  8.08|     | 6.20|05 39 01.6|+45 26 52
Wo 9185 |K5 V        |  9.33| 1.13| 7.23|05 35 47.9|-62 48 12
Gl 209.1|F5 V        |  5.30| 0.46| 3.75|05 37 44.2|-28 41 22
Wo 9187 |A4 IV       |  4.80| 0.14| 2.90|05 38 53.3|-07 12 49
Gl 210  |G0 V        |  7.44| 0.60| 4.68|05 38 02.3|-42 57 49
NN 3360 |G5 V        |  7.34| 0.78| 5.35|05 38 09.1|-46 06 20
NN 3361 |K5 V        |  9.70|     | 7.70|05 38 09.9|-46 06 22
Gl 211  |K1 Ve       |  6.23| 0.84| 5.82|05 41 20.6|+53 28 53
GJ 1083 |m           | 14.85| 1.88|14.78|05 40 25.9|+24 48 09
Gl 212  |M1          |  9.75| 1.48| 9.43|05 41 30.7|+53 29 23
NN 3362 |M3          | 11.36| 1.46| 9.72|05 40 15.5|+12 38 56
Wo 9188 |dM0         | 10.61| 1.46| 8.97|05 41 59.3|+15 20 11
Gl 213  |M4          | 11.53| 1.62|12.64|05 42 09.4|+12 29 22
GJ 2045 |m           | 15.28| 1.86|14.74|05 42 12.9|-05 27 55
Gl 215  |K7          |  9.02| 1.40| 8.29|05 45 46.7|+62 14 14
Wo 9189 |G1 V        |  5.65| 0.60| 4.61|05 37 11.3|-80 28 07
NN 3363 |G5          |  8.15|     | 6.56|05 44 51.1|+32 23 27
NN 3364 |m           | 16.47| 1.69|14.61|05 47 41.4|+69 44 39
Gl 216  |F6 V        |  3.58| 0.47| 4.06|05 44 28.1|-22 26 54
Gl 216  |K2 V        |  6.13| 0.94| 6.61|05 44 26.1|-22 25 17
Gl 217  |K1 V        |  7.36| 0.83| 6.13|05 46 01.5|+37 17 07
NN 3365 |M4          | 12.79| 1.55|10.80|05 46 37.6|+44 07 13
NN 3366 |m           | 14.54| 1.78|13.52|05 47 08.5|-05 12 21
Gl 217.1|A3 V        |  3.55| 0.10| 1.99|05 46 57.0|-14 49 22
NN 3367 |M0          | 10.99| 1.45| 9.11|05 47 17.7|-00 00 47
Gl 217.2|K0 V        |  8.08| 0.76| 5.61|05 44 31.9|-70 08 40
NN 3368 |m           | 14.19|     |12.46|05 48 24.1|+07 45 37
Gl 218  |M3          | 10.73| 1.48|10.63|05 47 40.5|-36 19 42
NN 3369 |M0.5        | 11.00| 1.42| 9.12|05 48 16.9|-11 08 03
GJ 1084 |M0 V        |  9.74| 1.38| 8.52|05 47 18.4|-48 31 30
GJ 1085 |G2 V        |  5.97| 0.64| 4.82|05 48 35.2|-04 05 40
Gl 219  |A5 V        |  3.85| 0.17| 2.73|05 47 17.2|-51 03 58
GJ 1086 |DQP8        | 14.55| 0.48|14.33|05 51 19.8|-00 10 25
Gl 220  |M1.5        | 10.81| 1.48| 9.40|05 53 14.2|+24 15 30
Gl 221  |M0 V        |  9.70| 1.33| 8.23|05 53 00.7|-05 59 41
Gl 222  |G0 V        |  4.40| 0.59| 4.47|05 54 22.7|+20 16 32
NN 3370 |K2          |  7.83| 1.07| 6.76|05 55 24.6|+49 00 22
Gl 223  |K3 V        |  8.83| 1.02| 6.79|05 54 28.5|+02 08 34
Gl 223.1|dM0         | 10.71| 1.17| 7.52|05 54 34.2|-09 23 28
Gl 223.2|DZ9         | 14.45| 1.05|15.40|05 55 09.7|-04 10 17
Gl 224  |G5 IV       |  6.61| 0.65| 5.00|05 56 03.5|+13 55 29
Gl 224.1|K1 III/IV   |  4.65| 1.05| 3.20|05 54 06.1|-63 05 24
GJ 1087 |DAP9        | 14.10| 0.60|14.59|05 56 25.4|+05 21 46
Gl 225  |F1 III      |  3.72| 0.33| 3.05|05 56 24.7|-14 10 02
NN 3371 |M1          | 10.25| 1.51| 9.65|05 59 37.0|+58 35 35
NN 3372 |m           | 13.56|     |12.96|05 59 54.9|+58 34 15
NN 3373 |k-m         | 12.90| 1.56|11.37|06 00 50.6|+68 08 54
NN 3374 |m           | 13.31| 1.59|11.78|06 00 47.5|+68 08 01
NN 3375 |A2 IV       |  1.90| 0.03| 0.13|05 59 32.1|+44 56 52
NN 3376 |G0          |  6.99|     | 5.00|05 58 21.5|-04 39 04
NN 3377 |k-m         | 16.30|     |14.30|05 58 17.6|-04 38 04
NN 3378 |m           | 11.71| 1.60|12.32|06 01 09.6|+59 35 54
NN 3379 |M4          | 11.33| 1.68|12.68|06 00 03.7|+02 42 20
Gl 225.1|G5 V        |  8.60| 0.63| 6.96|05 59 56.2|-37 03 23
Gl 225.2|K5 V        |  8.28| 1.14| 7.38|06 00 20.0|-31 01 50
Gl 225.2|            |  9.10|     | 8.20|06 00 20.0|-31 01 50
Gl 225.2|K5 V        |  8.30|     | 7.40|06 00 20.0|-31 01 50
NN 3380 |m           | 14.47| 1.87|14.63|06 02 29.4|+49 51 42
Gl 226  |M2.5        | 10.50| 1.51|10.61|06 10 17.2|+82 06 25
NN 3381 |M3.5        | 13.94|     |12.21|06 03 30.0|+47 48 11
NN 3382 |m           | 13.25|     |11.70|06 02 22.9|-20 19 43
Gl 226.1|M3.5        | 13.67| 1.65|12.07|06 03 54.7|+26 08 46
NN 3383 |G5          |  7.98|     | 6.52|06 04 21.4|+18 41 41
Gl 226.2|dK8         |  9.75| 1.25| 7.76|06 07 55.7|+67 58 39
Gl 226.3|G0 V        |  6.11| 0.60| 4.56|06 06 08.7|+35 23 14
Wo 9200 |G0 IV-V     |  6.35| 0.52| 4.40|06 04 28.4|-45 02 10
Wo 9201 |k           | 12.15| 1.46|10.16|06 04 16.3|-55 18 13
Gl 227  |dK0  e      |  6.76| 0.81| 5.83|06 06 40.9|+15 32 32
NN 3384 |M3          | 12.44| 1.45|10.50|06 07 12.6|+33 32 33
Wo 9202 |K0 V        |  8.46| 0.85| 5.92|06 06 03.7|-59 32 33
Wo 9203 |M3          | 13.34| 1.50|10.20|06 09 02.1|+26 33 20
NN 3385 |M1.5        | 11.55| 1.46| 9.25|06 10 46.9|+25 55 59
Gl 228  |dM2.5 J     | 10.58| 1.46|10.60|06 10 55.1|+10 19 06
Gl 228  |            | 12.50|     |12.50|06 10 55.1|+10 19 06
Gl 229  |M1 Ve       |  8.14| 1.50| 9.35|06 10 34.5|-21 51 54
NN 3386 |dK8         |  9.69| 1.21| 7.70|06 13 36.2|+63 23 44
NN 3387 |G4 V        |  6.87| 0.63| 4.83|06 12 00.3|+06 46 55
GJ 1088 |M3.5        | 12.32| 1.59|11.70|06 10 56.2|-43 24 38
Wo 9204 |K2 V        |  9.29| 0.95| 6.45|06 11 29.9|-41 34 43
NN 3388 |m           | 12.86|     |11.56|06 14 02.2|+51 40 09
Wo 9205 |dG7         |  7.43| 0.77| 5.65|06 16 03.1|+70 46 52
Gl 230  |G2 V        |  6.45| 0.67| 5.23|06 13 12.5|+10 37 36
Wo 9206 |k           | 11.35| 1.46| 9.19|06 11 01.7|-65 12 13
NN 3389 |G5 V        |  6.38| 0.72| 5.31|06 13 45.1|-23 51 44
Gl 231  |G5 V        |  5.08| 0.72| 5.37|06 10 14.6|-74 45 11
NN 3390 |F6 V        |  5.20| 0.44| 3.51|06 14 50.6|+19 09 22
Wo 9207 |F5 IV-V     |  5.04| 0.42| 3.20|06 16 26.5|+12 16 22
Gl 231.1|F9 V        |  5.70| 0.60| 4.63|06 17 16.0|+05 05 58
Gl 231.1|m+          | 13.42| 1.41|12.35|06 17 10.9|+05 07 04
Wo 9209 |G3 V        |  6.43| 0.59| 4.65|06 16 18.6|-59 12 50
Wo 9209 |DB4         | 14.09|-0.09|12.31|06 16 18.6|-59 12 50
Gl 231.3|M4          | 13.06| 1.70|12.21|06 19 20.7|-06 39 28
NN 3391 |m           | 12.27|     |10.39|06 21 13.4|+44 14 35
NN 3392 |DA9         | 16.37| 0.55|14.63|06 20 48.4|+06 45 16
GJ 2049 |M1.5        | 10.76| 1.44|10.16|06 21 53.7|-22 43 24
Gl 232  |M4.5        | 13.06| 1.76|13.46|06 24 41.6|+23 25 59
NN 3393 |m           | 14.55| 1.76|12.81|06 25 52.7|+56 10 21
NN 3394 |G0 V        |  6.39| 0.62| 4.66|06 24 43.6|-28 46 50
Gl 233  |K2 V e      |  6.76| 0.94| 5.88|06 26 09.9|+18 45 22
Wo 9212 |F9 V        |  6.07| 0.53| 3.79|06 27 10.9|-25 51 23
Wo 9212 |K7          | 11.57| 1.04| 9.29|06 27 10.9|-25 51 23
Gl 234  |M4.5 J      | 11.13| 1.71|13.05|06 29 23.9|-02 48 50
Gl 234  |            | 14.60|     |16.50|06 29 23.9|-02 48 50
NN 3395 |M0          | 11.09| 1.50| 9.67|06 31 00.9|+50 02 53
NN 3396 |m           | 14.83|     |14.60|06 31 50.3|+41 29 45
Gl 236  |M0          | 11.41| 1.37|10.55|06 32 08.5|-27 01 56
Gl 237  |g-k         | 10.59| 1.48| 9.08|06 31 51.7|-43 32 05
NN 3397 |m           | 13.00|     |11.10|06 32 19.7|-69 57 00
Gl 238  |m           | 11.62| 1.51|10.88|06 33 50.3|-58 31 40
NN 3398 |k-m         | 14.22| 1.65|12.93|06 36 06.8|+11 36 50
Gl 239  |dM1         |  9.63| 1.49| 9.61|06 37 10.8|+17 33 54
Gl 239.1|K1 III      |  3.96| 1.05| 2.65|06 36 40.9|-19 15 20
Gl 240  |K0          |  9.62| 1.46| 8.84|06 37 11.2|-50 02 21
NN 3399 |k-m         | 11.93| 1.50|10.20|06 40 05.8|+28 35 12
NN 3400 |G0 V        |  6.34| 0.62| 4.65|06 38 00.0|-61 31 59
NN 3401 |            |  8.30|     | 6.60|06 38 00.0|-61 31 59
Gl 240.1|F8 V        |  5.45| 0.50| 3.83|06 46 13.7|+79 33 51
Gl 241  |dK6         |  8.13| 1.02| 6.91|06 41 15.7|+23 57 30
NN 3402 |M3          | 13.77|     |11.78|06 41 28.5|+15 45 42
NN 3403 |K7 V        |  9.94| 1.31| 7.95|06 39 43.4|-55 36 51
Wo 9216 |K7          | 10.95| 1.48| 8.80|06 44 46.5|+71 53 19
NN 3404 |m           | 12.06|     |11.09|06 42 11.0|+03 34 42
NN 3405 |m           | 13.33|     |12.36|06 42 14.0|+03 35 24
NN 3406 |M3.5   J    | 12.44| 1.59|11.02|06 43 49.9|+51 08 18
NN 3407 |            | 14.90|     |13.50|06 43 49.9|+51 08 18
Gl 242  |F5 III      |  3.36| 0.43| 1.86|06 45 17.4|+12 53 46
NN 3408 |K3 V        |  8.77| 0.96| 7.14|06 46 04.8|+32 33 21
NN 3409 |M0.5        | 12.17| 1.53|10.54|06 46 06.6|+32 33 16
Gl 243  |G2 V        |  6.45| 0.54| 4.46|06 44 51.8|-27 20 32
Gl 244  |A1 V        | -1.43| 0.00| 1.47|06 45 09.2|-16 43 00
Gl 244  |DA2         |  8.44|-0.03|11.34|06 45 09.2|-16 43 00
Gl 245  |G0 V        |  5.24| 0.56| 4.34|06 46 44.1|+43 34 41
Gl 245.1|F6 V        |  5.92| 0.49| 3.98|06 45 23.3|-31 47 35
Gl 246  |DA2         | 12.06|-0.08|11.04|06 47 38.1|+37 30 59
NN 3410 |DA8         | 15.68| 0.32|14.37|06 47 22.2|+02 31 06
Gl 247  |dM0  p      |  8.58| 1.22| 7.10|06 49 57.2|+60 20 06
GJ 1091 |            | 13.34| 1.35|11.57|06 48 49.7|+37 08 35
GJ 1092 |m           | 13.76| 1.66|13.16|06 49 05.2|+37 06 56
NN 3411 |K5          | 10.17| 1.32| 8.18|06 49 36.3|+35 08 24
Gl 248  |A7 IV       |  3.27| 0.21| 1.80|06 48 11.8|-61 56 27
Gl 249  |dK6         |  8.99| 1.24| 7.73|06 51 32.5|+47 22 02
Gl 249.1|F5 III      |  5.13| 0.45| 3.60|06 49 54.7|-46 36 51
NN 3412 |M3.5        | 11.06| 1.54|10.87|06 54 03.4|+60 52 13
NN 3413 |m           | 13.18|     |11.80|06 52 31.8|+18 16 27
